AvailabilityMeasure	Goal	Indicator	IndicatorCode	IndicatorDescription	Tier	4_Afghanistan	8_Albania	12_Algeria	20_Andorra	24_Angola	28_Antigua and Barbuda	31_Azerbaijan	32_Argentina	36_Australia	40_Austria	44_Bahamas	48_Bahrain	50_Bangladesh	51_Armenia	52_Barbados	56_Belgium	64_Bhutan	68_Bolivia (Plurinational State of)	70_Bosnia and Herzegovina	72_Botswana	76_Brazil	84_Belize	90_Solomon Islands	96_Brunei Darussalam	100_Bulgaria	104_Myanmar	108_Burundi	112_Belarus	116_Cambodia	120_Cameroon	124_Canada	132_Cabo Verde	140_Central African Republic	144_Sri Lanka	148_Chad	152_Chile	156_China	170_Colombia	174_Comoros	178_Congo	180_Democratic Republic of the Congo	188_Costa Rica	191_Croatia	192_Cuba	196_Cyprus	203_Czechia	204_Benin	208_Denmark	212_Dominica	214_Dominican Republic	218_Ecuador	222_El Salvador	226_Equatorial Guinea	231_Ethiopia	232_Eritrea	233_Estonia	242_Fiji	246_Finland	250_France	262_Djibouti	266_Gabon	268_Georgia	270_Gambia	276_Germany	288_Ghana	296_Kiribati	300_Greece	308_Grenada	320_Guatemala	324_Guinea	328_Guyana	332_Haiti	340_Honduras	348_Hungary	352_Iceland	356_India	360_Indonesia	364_Iran (Islamic Republic of)	368_Iraq	372_Ireland	376_Israel	380_Italy	384_Côte d'Ivoire	388_Jamaica	392_Japan	398_Kazakhstan	400_Jordan	404_Kenya	408_Democratic People's Republic of Korea	410_Republic of Korea	414_Kuwait	417_Kyrgyzstan	418_Lao People's Democratic Republic	422_Lebanon	426_Lesotho	428_Latvia	430_Liberia	434_Libya	438_Liechtenstein	440_Lithuania	442_Luxembourg	450_Madagascar	454_Malawi	458_Malaysia	462_Maldives	466_Mali	470_Malta	478_Mauritania	480_Mauritius	484_Mexico	492_Monaco	496_Mongolia	498_Republic of Moldova	499_Montenegro	504_Morocco	508_Mozambique	512_Oman	516_Namibia	520_Nauru	524_Nepal	528_Netherlands	548_Vanuatu	554_New Zealand	558_Nicaragua	562_Niger	566_Nigeria	578_Norway	583_Micronesia (Federated States of)	584_Marshall Islands	585_Palau	586_Pakistan	591_Panama	598_Papua New Guinea	600_Paraguay	604_Peru	608_Philippines	616_Poland	620_Portugal	624_Guinea-Bissau	626_Timor-Leste	634_Qatar	642_Romania	643_Russian Federation	646_Rwanda	659_Saint Kitts and Nevis	662_Saint Lucia	670_Saint Vincent and the Grenadines	674_San Marino	678_Sao Tome and Principe	682_Saudi Arabia	686_Senegal	688_Serbia	690_Seychelles	694_Sierra Leone	702_Singapore	703_Slovakia	704_Viet Nam	705_Slovenia	706_Somalia	710_South Africa	716_Zimbabwe	724_Spain	728_South Sudan	729_Sudan	740_Suriname	748_Eswatini	752_Sweden	756_Switzerland	760_Syrian Arab Republic	762_Tajikistan	764_Thailand	768_Togo	776_Tonga	780_Trinidad and Tobago	784_United Arab Emirates	788_Tunisia	792_Turkey	795_Turkmenistan	798_Tuvalu	800_Uganda	804_Ukraine	807_North Macedonia	818_Egypt	826_United Kingdom of Great Britain and Northern Ireland	834_United Republic of Tanzania	840_United States of America	854_Burkina Faso	858_Uruguay	860_Uzbekistan	862_Venezuela (Bolivarian Republic of)	882_Samoa	887_Yemen	894_Zambia
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	2	2.1.2	C020102	"2.1.2 Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)"	"Tier II
"	12	12	0	0	0	0	0	0	12	0	0	0	0	12	0	0	0	0	12	12	12	0	0	0	0	12	0	12	12	12	12	0	0	0	0	12	0	0	0	0	0	12	12	0	0	12	0	12	0	0	12	12	0	0	0	12	0	0	12	0	0	0	0	12	12	0	12	0	12	0	0	0	0	12	0	0	0	0	0	12	12	12	0	0	12	12	12	0	0	0	0	0	0	0	0	12	0	0	0	12	12	0	0	0	0	0	0	0	12	12	0	0	0	12	0	0	0	0	0	0	12	0	0	0	0	12	12	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	12	12	0	0	12	12	0	0	0	0	12	12	0	0	0	12	12	0	12	0	12	0	0	0	0	0	0	0	0	0	0	0	12	0	12	12	0	0	0	0	12	0
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	2	2.2.1	C020201	2.2.1 Prevalence of stunting (height for age &lt;-2 standard deviation from the median of the World Health Organization (WHO) Child Growth Standards) among children under 5 years of age	"Tier I
"	2	3	4	0	2	0	5	1	1	0	0	0	12	4	1	0	2	4	3	2	1	3	2	1	1	4	4	1	5	4	0	0	3	5	4	9	7	3	2	3	4	1	0	1	0	1	3	0	0	5	4	3	3	5	2	0	1	0	0	3	2	2	5	1	5	0	0	0	4	5	4	3	3	0	0	3	6	2	5	0	0	0	4	10	1	3	3	5	5	2	15	4	3	1	4	0	4	1	0	0	0	2	7	3	2	4	0	6	0	3	0	5	2	2	2	4	2	3	1	5	0	2	0	4	4	8	0	0	0	0	3	2	2	3	11	5	0	0	4	5	0	3	0	4	0	1	0	0	4	1	8	3	1	5	1	0	13	0	3	4	5	0	2	3	3	5	0	0	4	8	3	4	1	2	0	3	3	3	1	5	1	2	5	0	7	4	9	5	2	10	1	3	3
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	2	2.2.2	C020202	"2.2.2 Prevalence of malnutrition (weight for height &gt;+2 or &lt;-2 standard deviation from the median of the WHO Child Growth Standards) among children under 5 years of age, by type (wasting and overweight)"	"Tier I
"	4	6	8	0	3	0	10	2	2	0	0	0	24	8	2	0	4	7	6	4	2	6	4	2	2	8	7	2	10	8	1	0	6	10	8	18	13	6	4	6	8	2	0	1	0	2	6	0	0	10	8	6	6	10	4	0	2	0	0	6	4	4	10	2	10	0	0	0	8	9	8	6	6	0	0	5	12	2	8	0	0	0	8	20	2	6	6	9	7	4	30	8	6	2	8	0	7	2	0	0	0	2	14	4	4	8	0	12	0	6	0	10	4	4	4	7	4	6	2	10	0	4	0	8	7	16	0	0	0	0	6	1	4	6	18	10	0	0	8	8	0	6	0	8	0	2	0	0	8	2	16	6	2	10	2	0	25	0	5	8	10	0	4	6	6	9	0	0	7	11	6	7	2	4	0	5	5	5	2	10	2	4	8	0	11	8	15	10	4	20	2	6	6
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	2	2.5.1	C020501	2.5.1 Number of plant and animal genetic resources for food and agriculture secured in either medium- or long-term conservation facilities	"Tier I
"	12	12	5	0	5	5	12	5	12	12	5	5	12	12	5	12	12	12	12	12	12	5	5	0	12	12	5	12	5	5	12	5	5	12	5	12	5	5	5	5	5	12	12	12	12	12	5	12	5	5	12	5	5	12	5	12	5	12	12	5	5	12	5	12	5	5	12	5	5	5	12	5	5	12	5	12	5	5	5	12	12	12	5	5	12	5	12	12	5	5	5	5	5	12	5	12	5	12	0	12	5	12	12	12	5	12	5	5	5	12	0	12	12	12	12	5	5	12	0	12	12	5	12	5	12	5	12	0	0	5	12	12	5	5	12	5	12	12	5	0	0	12	12	5	5	5	5	0	5	5	12	12	5	5	0	12	5	12	5	12	5	12	0	12	5	12	12	12	5	5	12	12	5	5	0	12	12	5	5	12	12	12	12	12	12	12	5	5	5	5	5	5	12
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	2	2.5.2	C020502	"2.5.2 Proportion of local breeds classified as being at risk, not at risk or at unknown level of risk of extinction"	"Tier I
"	66	114	114	0	114	114	114	114	114	114	66	66	114	114	66	114	114	114	114	114	114	66	114	0	114	114	114	114	114	114	114	0	66	114	114	114	114	114	96	66	114	66	114	114	114	114	114	114	66	114	114	114	0	114	114	114	90	114	114	66	66	114	0	114	114	66	114	66	114	114	66	66	114	114	114	114	114	114	114	114	66	114	114	84	114	114	114	114	66	114	0	114	114	114	114	114	0	114	0	114	36	114	114	114	114	114	114	114	114	114	0	114	114	66	114	114	114	114	0	114	114	114	114	102	114	114	114	0	0	0	114	66	114	96	114	114	114	114	114	0	0	114	114	66	108	66	0	0	66	66	114	114	66	0	0	114	114	114	114	114	114	114	0	114	66	114	114	114	114	114	114	114	114	66	0	114	114	114	102	114	114	114	114	114	114	114	114	114	114	114	66	114	114
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	2	2.a.1	C020a01	2.a.1 The agriculture orientation index for government expenditures	"Tier I
"	11	10	4	0	16	0	8	16	16	0	16	8	14	8	2	15	16	14	0	12	8	0	5	0	16	0	4	15	0	0	6	13	3	16	0	16	10	0	0	8	7	16	15	0	15	16	1	16	0	8	15	15	3	7	0	15	11	15	15	0	0	14	0	0	2	0	10	5	16	0	0	0	0	15	15	13	8	8	0	15	16	15	4	13	0	11	4	16	0	16	9	7	0	12	9	9	8	0	0	12	16	8	16	16	14	10	15	0	16	0	0	6	15	10	7	14	14	15	0	15	16	8	2	0	0	11	16	7	9	8	16	16	0	8	0	16	15	15	7	8	2	5	16	4	0	0	2	3	4	0	0	10	10	0	16	15	9	15	0	15	0	15	0	0	0	6	16	15	3	0	15	2	0	14	4	12	10	0	0	16	14	0	13	15	15	0	8	4	5	0	7	0	14
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	2	2.a.2	C020a02	2.a.2 Total official flows (official development assistance plus other official flows) to the agriculture sector	"Tier I
"	17	17	17	0	17	17	17	17	0	0	0	2	17	17	10	0	17	17	17	17	17	16	17	0	0	17	17	12	17	17	0	17	17	17	17	17	17	17	17	17	17	17	11	17	0	0	17	0	17	17	17	17	17	17	17	0	17	0	0	17	17	17	17	0	17	17	0	17	17	17	17	17	17	0	0	17	17	17	16	0	0	0	17	17	0	17	17	17	17	0	0	17	17	17	17	0	17	11	0	0	0	17	17	17	16	17	0	17	17	17	0	17	17	11	17	17	11	17	14	17	0	17	0	17	17	17	0	16	16	16	17	17	17	17	17	17	0	0	17	17	0	0	0	17	13	17	17	0	17	7	17	17	17	17	0	0	17	3	17	17	17	0	6	17	17	17	0	0	17	17	17	17	17	11	0	17	17	16	16	17	12	17	17	0	17	0	17	17	17	17	17	17	17
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	2	2.b.1	C020b02	2.b.1 Agricultural export subsidies	"Tier I
"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	2	2.c.1	C020c01	2.c.1 Indicator of food price anomalies	"Tier II
"	1	0	0	0	2	0	1	2	0	0	0	0	2	1	0	0	0	3	0	0	2	0	0	0	0	1	1	1	1	2	0	3	0	2	4	3	2	3	0	0	2	3	0	0	0	0	0	0	0	2	1	4	0	3	0	0	0	0	0	0	0	1	0	0	4	0	0	0	2	1	0	3	2	0	0	2	2	0	0	0	3	3	1	0	1	1	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	0	3	0	2	0	2	0	2	1	0	2	2	0	5	0	0	0	0	0	3	4	4	0	0	0	0	2	2	0	0	3	2	0	0	0	0	0	0	2	2	0	0	0	0	0	2	3	0	0	0	0	0	1	0	3	3	3	0	3	3	0	3	0	0	0	1	2	3	0	0	0	0	0	0	0	2	1	0	0	0	1	0	3	2	0	0	1	0	1
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	3	3.1.1	C030101	3.1.1 Maternal mortality ratio	"Tier I
"	48	48	48	0	48	0	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	0	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	0	48	48	48	48	48	48	48	48	48	48	48	0	48	48	48	48	48	48	48	0	48	48	48	48	48	48	48	48	48	0	0	48	48	48	48	48	48	48	48	48	48	48	48	48	48	0	48	48	0	48	48	48	48	0	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	48	0	48	48	48	48	48	48	48	48	48	48	48	48	48	48
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	3	3.1.2	C030102	3.1.2 Proportion of births attended by skilled health personnel	"Tier I
"	9	10	4	0	4	13	17	16	15	17	11	16	11	16	13	0	14	11	15	16	16	14	3	17	14	5	4	15	8	5	15	10	4	2	4	16	16	16	2	3	4	16	16	17	15	14	4	16	14	11	13	15	2	6	2	17	16	15	14	5	2	16	4	16	6	6	0	10	9	5	9	5	4	15	17	11	14	8	9	16	0	13	6	8	15	16	4	4	3	7	14	15	5	3	4	17	3	7	0	15	2	4	13	16	12	4	16	4	10	13	0	10	15	11	3	7	11	3	1	7	0	6	14	11	4	6	17	8	4	13	10	17	14	13	14	13	17	4	4	4	15	16	15	5	12	10	13	0	7	8	11	15	9	5	17	15	9	13	2	3	5	0	2	3	7	5	0	0	3	15	6	5	12	11	10	4	3	7	3	5	15	17	8	0	3	16	11	15	16	10	4	6	7
"Number of data points available for each global SDG indicator, by UN Member States (2000-2018)"	3	3.2.1	C030201	3.2.1 Under-5 mortality rate	"Tier I
"	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	0	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216	216
