Goal	Indicator	IndicatorCode	IndicatorDescription	TierX	countriesAvailable	N	percent	Has75percentPlus
8	8.8.1	C080801	8.8.1 Frequency rates of fatal and non-fatal occupational injuries, by sex and migrant status	Tier II	77	195	39.4871794871795	0
8	8.a.1	C080a01	8.a.1 Aid for Trade commitments and disbursements	Tier I*	169	195	86.6666666666667	1
9	9.1.2	C090102	9.1.2 Passenger and freight volumes, by mode of transport	Tier I*	190	195	97.4358974358974	1
9	9.2.1	C090201	9.2.1 Manufacturing value added as a proportion of GDP and per capita	Tier I*	190	195	97.4358974358974	1
9	9.2.2	C090202	9.2.2 Manufacturing employment as a proportion of total employment	Tier I*	160	195	82.051282051282	1
9	9.3.1	C090301	9.3.1 Proportion of small-scale industries in total industry value added	Tier II	52	195	26.6666666666667	0
9	9.3.2	C090302	9.3.2 Proportion of small-scale industries with a loan or line of credit	Tier II	133	195	68.2051282051282	0
9	9.4.1	C090401	9.4.1 CO2 emission per unit of value added	Tier I*	138	195	70.7692307692308	0
9	9.5.1	C090501	9.5.1 Research and development expenditure as a proportion of GDP	Tier I*	134	195	68.7179487179487	0
9	9.5.2	C090502	9.5.2 Researchers (in full-time equivalent) per million inhabitants	Tier I*	124	195	63.5897435897436	0
9	9.a.1	C090a01	9.a.1 Total official international support (official development assistance plus other official flows) to infrastructure	Tier I*	148	195	75.8974358974359	1
9	9.b.1	C090b01	9.b.1 Proportion of medium and high-tech industry value added in total value added	Tier I*	144	195	73.8461538461539	0
9	9.c.1	C090c01	9.c.1 Proportion of population covered by a mobile network, by technology	Tier I*	192	195	98.4615384615385	1
10	10.1.1	C100101	10.1.1 Growth rates of household expenditure or income per capita among the bottom 40<U+00A0>per<U+00A0>cent of the population and the total population	Tier II	94	195	48.2051282051282	0
10	10.4.1	C100401	10.4.1 Labour share of GDP, comprising wages and social protection transfers	Tier II	53	195	27.1794871794872	0
10	10.6.1, 16.8.1	C200205	10.6.1 Proportion of members and voting rights of developing countries in international organizations	Tier I*	194	195	99.4871794871795	1
10	10.a.1	C100a01	10.a.1 Proportion of tariff lines applied to imports from least developed countries and developing countries with zero-tariff	Tier I*	0	195	0	0
10	10.b.1	C100b01	10.b.1 Total resource flows for development, by recipient and donor countries and type of flow (e.g. official development assistance, foreign direct investment and other flows)	Tier I*	187	195	95.8974358974359	1
10	10.c.1	C100c01	10.c.1 Remittance costs as a proportion of the amount remitted	Tier II	105	195	53.8461538461538	0
11	1.5.1, 11.5.1, 13.1.1	C200303	1.5.1 Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population	Tier II	114	195	58.4615384615385	0
11	1.5.2, 11.5.2	C010502	1.5.2 Direct economic loss attributed to disasters in relation to global gross domestic product (GDP)	Tier II	114	195	58.4615384615385	0
11	1.5.3, 11.b.1, 13.1.2	C200304	1.5.3 Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015<U+0096>2030	Tier I*	119	195	61.025641025641	0
11	1.5.4, 11.b.2, 13.1.3	C200305	1.5.4 Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies	Tier II	15	195	7.69230769230769	0
11	11.1.1	C110101	11.1.1 Proportion of urban population living in slums, informal settlements or inadequate housing	Tier I*	94	195	48.2051282051282	0
11	11.5.2	C110502	11.5.2 Direct economic loss in relation to global GDP, damage to critical infrastructure and number of disruptions to basic services, attributed to disasters	Tier II	114	195	58.4615384615385	0
11	11.6.1	C110601	11.6.1 Proportion of urban solid waste regularly collected and with adequate final discharge out of total urban solid waste generated, by cities	Tier II	98	195	50.2564102564103	0
11	11.6.2	C110602	11.6.2 Annual mean levels of fine particulate matter (e.g.<U+00A0>PM2.5 and PM10) in cities (population weighted)	Tier I*	192	195	98.4615384615385	1
12	12.1.1	C120101	12.1.1 Number of countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or a target into national policies	Tier II	71	195	36.4102564102564	0
12	12.2.2, 8.4.2	C200203	8.4.2 Domestic material consumption, domestic material consumption per capita, and domestic material consumption per GDP	Tier I*	185	195	94.8717948717949	1
12	12.4.1	C120401	12.4.1 Number of parties to international multilateral environmental agreements on hazardous waste, and other chemicals that meet their commitments and obligations in transmitting information as required by each relevant agreement	Tier I*	193	195	98.974358974359	1
13	1.5.1, 11.5.1, 13.1.1	C200303	1.5.1 Number of deaths, missing persons and directly affected persons attributed to disasters per 100,000 population	Tier II	114	195	58.4615384615385	0
13	1.5.3, 11.b.1, 13.1.2	C200304	1.5.3 Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015<U+0096>2030	Tier I*	119	195	61.025641025641	0
13	1.5.4, 11.b.2, 13.1.3	C200305	1.5.4 Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies	Tier II	15	195	7.69230769230769	0
14	14.4.1	C140401	14.4.1 Proportion of fish stocks within biologically sustainable levels	Tier I*	0	195	0	0
14	14.5.1	C140501	14.5.1 Coverage of protected areas in relation to marine areas	Tier I*	152	195	77.948717948718	1
14	14.a.1	C140a01	14.a.1 Proportion of total research budget allocated to research in the field of marine technology	Tier II	25	195	12.8205128205128	0
15	15.1.1	C150101	15.1.1 Forest area as a proportion of total land area	Tier I*	194	195	99.4871794871795	1
15	15.1.2	C150102	15.1.2 Proportion of important sites for terrestrial and freshwater biodiversity that are covered by protected areas, by ecosystem type	Tier I*	187	195	95.8974358974359	1
15	15.2.1	C150201	15.2.1 Progress towards sustainable forest management	Tier I*	194	195	99.4871794871795	1
15	15.4.1	C150401	15.4.1 Coverage by protected areas of important sites for mountain biodiversity	Tier I*	147	195	75.3846153846154	1
15	15.4.2	C150402	15.4.2 Mountain Green Cover Index	Tier I*	162	195	83.0769230769231	1
15	15.5.1	C150501	15.5.1 Red List Index	Tier I*	194	195	99.4871794871795	1
15	15.6.1	C150601	15.6.1 Number of countries that have adopted legislative, administrative and policy frameworks to ensure fair and equitable sharing of benefits	Tier I*	194	195	99.4871794871795	1
15	15.a.1, 15.b.1	C200207	15.a.1 Official development assistance and public expenditure on conservation and sustainable use of biodiversity and ecosystems	Tier I*	174	195	89.2307692307692	1
16	10.6.1, 16.8.1	C200205	10.6.1 Proportion of members and voting rights of developing countries in international organizations	Tier I*	194	195	99.4871794871795	1
16	16.1.1	C160101	16.1.1 Number of victims of intentional homicide per 100,000 population, by sex and age	Tier I*	187	195	95.8974358974359	1
16	16.10.1	C161001	16.10.1 Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12<U+00A0>months	Tier II	0	195	0	0
16	16.10.2	C161002	16.10.2 Number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information	Tier II	115	195	58.974358974359	0
16	16.2.1	C160201	16.2.1 Proportion of children aged 1<U+0096>17<U+00A0>years who experienced any physical punishment and/or psychological aggression by caregivers in the past month	Tier II	81	195	41.5384615384615	0
16	16.2.2	C160202	16.2.2 Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation	Tier II	79	195	40.5128205128205	0
16	16.2.3	C160203	16.2.3 Proportion of young women and men aged 18<U+0096>29<U+00A0>years who experienced sexual violence by age<U+00A0>18	Tier II	40	195	20.5128205128205	0
16	16.3.2	C160302	16.3.2 Unsentenced detainees as a proportion of overall prison population	Tier I*	133	195	68.2051282051282	0
16	16.5.2	C160502	16.5.2 Proportion of businesses that had at least one contact with a public official and that paid a bribe to a public official, or were asked for a bribe by those public officials during the previous 12<U+00A0>months	Tier II	138	195	70.7692307692308	0
16	16.6.1	C160601	16.6.1 Primary government expenditures as a proportion of original approved budget, by sector (or by budget codes or similar)	Tier I*	0	195	0	0
16	16.9.1	C160901	16.9.1 Proportion of children under 5<U+00A0>years of age whose births have been registered with a civil authority, by age	Tier I*	169	195	86.6666666666667	1
16	16.a.1	C160a01	16.a.1 Existence of independent national human rights institutions in compliance with the Paris Principles	Tier I*	194	195	99.4871794871795	1
17	17.10.1	C171001	17.10.1 Worldwide weighted tariff-average	Tier I*	0	195	0	0
17	17.11.1	C171101	17.11.1 Developing countries<U+0092> and least developed countries<U+0092> share of global exports	Tier I*	0	195	0	0
17	17.12.1	C171201	17.12.1 Average tariffs faced by developing countries, least developed countries and small island developing States	Tier I*	0	195	0	0
17	17.15.1	C171501	17.15.1 Extent of use of country-owned results frameworks and planning tools by providers of development cooperation	Tier II	114	195	58.4615384615385	0
17	17.16.1	C171601	17.16.1 Number of countries reporting progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals	Tier II	118	195	60.5128205128205	0
17	17.18.2	C171802	17.18.2 Number of countries that have national statistical legislation that complies with the Fundamental Principles of Official Statistics	Tier II	93	195	47.6923076923077	0
17	17.18.3	C171803	17.18.3 Number of countries with a national statistical plan that is fully funded and under implementation, by source of funding	Tier I*	107	195	54.8717948717949	0
17	17.19.1	C171901	17.19.1 Dollar value of all resources made available to strengthen statistical capacity in developing countries	Tier I*	147	195	75.3846153846154	1
17	17.19.2	C171902	17.19.2 Proportion of countries that (a) have conducted at least one population and housing census in the last 10<U+00A0>years; and (b) have achieved 100<U+00A0>per<U+00A0>cent birth registration and 80<U+00A0>per<U+00A0>cent death registration	Tier I*	183	195	93.8461538461538	1
17	17.2.1	C170201	17.2.1 Net official development assistance, total and to least developed countries, as a proportion of the Organization for Economic Cooperation and Development (OECD) Development Assistance Committee donors<U+0092> gross national income (GNI)	Tier I*	29	195	14.8717948717949	0
17	17.3.2	C170302	17.3.2 Volume of remittances (in United States dollars) as a proportion of total GDP	Tier I*	176	195	90.2564102564103	1
17	17.4.1	C170401	17.4.1 Debt service as a proportion of exports of goods and services	Tier I*	119	195	61.025641025641	0
17	17.6.2	C170602	17.6.2 Fixed Internet broadband subscriptions per 100 inhabitants, by speed	Tier I*	192	195	98.4615384615385	1
17	17.8.1	C170801	17.8.1 Proportion of individuals using the Internet	Tier I*	193	195	98.974358974359	1
17	17.9.1	C170901	17.9.1 Dollar value of financial and technical assistance (including through North-South, South-South and triangular cooperation) committed to developing countries	Tier I*	148	195	75.8974358974359	1
